,0
0,0.06730164148504138
1,0.06481826085475503
2,0.06204921614450015
3,0.06183822252687267
4,0.06165526578823858
5,0.06145260393458008
6,0.061196894597359615
7,0.06095413587984968
8,0.06071828151589125
9,0.060517551983526124
10,0.06036932367689106
11,0.060280707672874245
12,0.060247016403320294
13,0.06024861292601164
14,0.060258521605680446
15,0.06026669166862035
16,0.06026970065884303
17,0.06026756043740444
18,0.060261399176129105
19,0.060253534302268735
20,0.06024677057138389
21,0.06024318084375959
22,0.06024283717057078
23,0.06024311598282507
24,0.06024292740183441
25,0.06024248341224656
26,0.060242264965927016
27,0.06024221829169869
28,0.06024215446425183
29,0.06024203351398618
30,0.060241903703381824
31,0.06024178516970883
32,0.06024150553100444
33,0.06024073526576454
34,0.06023951917613925
35,0.060238188986466774
36,0.060236827368620995
37,0.06023545535741834
38,0.06023438039048482
39,0.060233659824405414
40,0.060233265961818855
41,0.06023308061355778
42,0.060233048717048036
43,0.060233107749152776
44,0.06023320714454003
45,0.060233214785868544
46,0.060232988600157
47,0.060232531053807874
48,0.060232027451283095
49,0.060231750290942895
50,0.060231685665148804
51,0.06023161753105473
52,0.060231508707414186
53,0.06023138461210598
54,0.06023125729334593
55,0.06023109075964778
56,0.06023083018287261
57,0.0602304811706183
58,0.06023001058514861
59,0.06022943809156816
60,0.06022874413567598
61,0.060227759967233056
62,0.060226347779835585
63,0.060224428846817286
64,0.06022206970172611
65,0.06021910444277461
66,0.060215212283938134
67,0.060210053750147215
68,0.060203271742702257
69,0.06019334704149865
70,0.060182069093914735
71,0.060169392792820735
72,0.060153627375160695
73,0.06013440349775589
74,0.060111634182967784
75,0.06008283781120969
76,0.06004683336110785
77,0.06000190902556957
78,0.05994354429217763
79,0.059869579173677696
80,0.059778005804949866
81,0.059665265680425364
82,0.059529254413203087
83,0.059371510262983165
84,0.05919845000038586
85,0.05902916154205828
86,0.05888099391696921
87,0.058784418531600664
88,0.05876526597739737
89,0.05882841547439417
90,0.05895450308388418
91,0.059127075376543416
92,0.059299665710715266
93,0.05943763622056524
94,0.05951653721381824
95,0.05952421182610973
96,0.05946615796615992
97,0.059359397141457076
